Žadatel,IČ žadatele,Název NUTS
"Odborné učiliště a Praktická škola Hlučín, příspěvková organizace",00601837,Hlučín
"Základní škola a mateřská škola Rájec -Jestřebí, okres Blansko",62073036,Rájec-Jestřebí
"Gymnázium, Kladno, nám.E.Beneše 1573",61894435,Kladno
"Střední škola technická a řemeslná, Nový Bydžov, Dr. M.Tyrše 112",00087751,Nový Bydžov
"Střední zdravotnická škola Brno, Jaselská, příspěvková organizace",00637998,Brno-střed
Gymnázium J. A. Komenského a Jazyková škola s právem státní jazykové zkoušky Uherský Brod,60371757,Uherský Brod
"Základní škola a Mateřská škola Úhonice, okres Praha západ",70987254,Úhonice
Základní škola Ježek bez klece,02900041,Mokrá-Horákov
Základní a mateřská škola Loučeň,61631973,Loučeň
"Gymnázium, Jevíčko, A.K.Vitáka 452",62032011,Jevíčko
"Střední škola technická Znojmo, příspěvková organizace",00530506,Znojmo
"Střední škola společného stravování, Ostrava-Hrabůvka, příspěvková organizace",00577260,Ostrava-Jih
"Základní škola Velké Březno, okres Ústí nad Labem, příspěvková organizace",72742127,Velké Březno
"Základní škola speciální, Základní škola praktická a Praktická škola, Litoměřice, Šaldova 6, příspěvková organizace",62770233,Litoměřice
"Gymnázium T.G.Masaryka, Hustopeče, Dukelské náměstí 7",60680369,Hustopeče
"Dětský diagnostický ústav, základní škola a školní jídelna",62331264,Bohumín
Dvořákovo gymnázium a SOŠE Kralupy nad Vltavou,49518925,Kralupy nad Vltavou
"Základní škola Nýrsko, školní ulice - příspěvková organizace",43317880,Nýrsko
"Gymnázium a Střední pedagogická škola, Čáslav, Masarykova 248",61924041,Čáslav
"Základní škola Kojetín, náměstí Míru 83, okres Přerov",61985571,Kojetín
"Základní škola Týniště nad Orlicí, okres Rychnov nad Kněžnou",60884541,Týniště nad Orlicí
"Základní škola Čelákovice, Kostelní 457, příspěvková organizace",43752047,Čelákovice
"Základní škola a mateřská škola Sivice, okres Brno - venkov, příspěvková organizace",71008322,Sivice
"Masarykova základní škola Dymokury, okres Nymburk",61631981,Dymokury
Základní škola speciální a praktická škola Diakonie ČCE Vrchlabí,71197621,Vrchlabí
"Základní škola Pardubice-Polabiny, Prodloužená 283",60159065,Pardubice II
"Střední odborná škola a střední odborné učiliště, Hradec Králové, Vocelova 1338",00175790,Hradec Králové
"Základní škola J.A. Komenského Brandýs nad Orlicí, okres Ústí nad Orlicí",75015439,Brandýs nad Orlicí
"Střední škola železniční, technická a služeb, Šumperk",00851167,Šumperk
"ZŠ Antonína Baráka Lovosice, Sady pionýrů 361/4, okres Litoměřice",46771816,Lovosice
"Základní škola a Mateřská škola s polským vyučovacím jazykem Żwirki i Wigury Těrlicko, příspěvková organizace",70646066,Těrlicko
"EDUCAnet - střední škola a základní škola České Budějovice, s.r.o.",25158392,České Budějovice
"Gymnázium, Obchodní akademie a Jazyková škola s právem státní jazykové zkoušky Hodonín, příspěvková organizace",00559130,Hodonín
"Základní škola Bystřice n. P., Nádražní 615",43379516,Bystřice nad Pernštejnem
"Střední škola Sion High School, Hradec Králové",71341501,Hradec Králové
"Základní škola a mateřská škola Prostějov,  Melantrichova 60",62860500,Prostějov
Obchodní akademia a Střední odborná škola cestovního ruchu Choceň,49314661,Choceň
"Střední odborná škola, Šumperk, Zemědělská 2115/3",00852384,Šumperk
"Střední odborná škola a Střední odborné učiliště Hustopeče, příspěvková organizace",16355474,Hustopeče
"Vyšší odborná škola, Obchodní akademie, Střední zdravotnická škola a Jazyková škola s právem státní jazykové zkoušky, Klatovy, Plánická 196  zkoušky, Klatovy, Plánická 196",61781771,Klatovy
"Základní škola Poniklá, příspěvková organizace",72743077,Poniklá
"Základní škola a mateřská škola, Prasek",70986509,Prasek
"Střední škola, Havířov-Šumbark, Sýkorova 1/613, příspěvková organizace",13644289,Havířov
Gymnázium Žamberk,49314891,Žamberk
Základní škola Orlová-Lutyně Ke Studánce 1050 okres Karviná,48004219,Orlová
Základní a Mateřská škola Úsobrno,70982520,Úsobrno
"Základní škola Plańany, okres Kolín",46383433,Plaňany
Soukromá základní škola a mateřská škola Viva Bambini s.r.o.,28133447,České Budějovice
"Základní škola a Základní umělecká škola, Rtyně v Podkrkonoší, okres Trutnov",49290576,Rtyně v Podkrkonoší
"Základní škola Pardubice, nábřeží Závodu míru 1951",48161136,Pardubice I
