IČO,Žadatel,Název,Celkové zdroje,Smlouva,Proplaceno
70994234,"Správa železniční dopravní cesty, státní organizace","Modernizace trati Ševětín - Veselí nad Lužnicí - II. část, úsek Horusice - Veselí nad Lužnicí",1.61,1.09,1.05
70994234,"Správa železniční dopravní cesty, státní organizace",Elektrizace trati Zábřeh-Šumperk,1.45,1.08,1.08
65993390,Ředitelství silnic a dálnic ČR,Silnice I/38 Moravské Budějovice - obchvat,1.3,1.06,1.06
65993390,Ředitelství silnic a dálnic ČR,"Silnice I/38 Nymburk, přeložka II. a III. stavba",1.31,1.04,0.95
00551023,Ministerstvo práce a sociálních věcí,Poradenské činnosti a rekvalifikace podporující zvýšení zaměstnatelnosti,1.2,1.02,0.83
65993390,Ředitelství silnic a dálnic ČR,Silnice I/44 Vlachov - Rájec,1.23,1.01,0.92
65993390,Ředitelství silnic a dálnic ČR,Rychlostní silnice R4 Mirotice - Třebkov,1.22,1.0,0.98
70994234,"Správa železniční dopravní cesty, státní organizace","Optimalizace trati Bystřice nad Olší - Český Těšín, 2. část - žst. Český Těšín",1.33,0.98,0.94
65993390,Ředitelství silnic a dálnic ČR,"Silnice I/57 Semetín - Bystřička, 1.stavba",1.45,0.98,0.98
70994234,"Správa železniční dopravní cesty, státní organizace","Modernizace záp. část Praha hl.n., 2.část nást. I - IV",1.48,0.97,0.96
70994226,"České dráhy, a.s.",OBNOVA VOZOVÉHO PARKU LINKY R13 BRNO - BŘECLAV - OLOMOUC,1.11,0.94,0.94
00007064,Ministerstvo vnitra,Zvýšení akceschopnosti Policie ČR při řešení mimořádných událostí,1.07,0.91,0.89
70994234,"Správa železniční dopravní cesty, státní organizace",Elektrizace traťového úseku vč. PEÚ Šatov - Znojmo,1.23,0.88,0.88
67981801,Ředitelství vodních cest ČR,Rekonstrukce železničního mostu Kolín,1.23,0.88,0.87
44992785,Statutární město Brno,Rekonstrukce a dostavba kanalizace v Brně,2.14,0.87,0.8
00551023,Ministerstvo práce a sociálních věcí,Podpora odborného vzdělávání zaměstnanců,1.0,0.85,0.76
00216305,Vysoké učení technické v Brně,Výstavba vzdělávacího komplexu FEKT VUT v Brně na,1.16,0.84,0.84
70994234,"Správa železniční dopravní cesty, státní organizace",Optimalizace trati Horní Dvořiště st. hranice - České Budějovice,1.28,0.84,0.87
70994234,"Správa železniční dopravní cesty, státní organizace","Optimalizace traťového úseku Praha Hostivař - Praha hl. n., I. část - žst. Praha Hostivař",1.21,0.84,0.57
70994234,"Správa železniční dopravní cesty, státní organizace",Průjezd uzlem Plzeň ve směru III. TŽK,1.31,0.84,0.65
70238880,Sdružení obcí Mikroregionu Vsetínsko,Čistá řeka Bečva II,1.47,0.83,0.76
65993390,Ředitelství silnic a dálnic ČR,Silnice I/11 Hrádek - průtah,1.05,0.81,0.76
65993390,Ředitelství silnic a dálnic ČR,Silnice I/27 Třemošná - přeložka,1.02,0.81,0.81
00064581,HLAVNÍ MĚSTO PRAHA,Intenzifikace nasazení telematických zařízení ke zvýšení bezpečnosti a plynulosti dopravy v hl. m. Praze,0.94,0.8,0.61
70994234,"Správa železniční dopravní cesty, státní organizace",Trať 340 Brno - Uherské Hradiště v úseku Blažovice - Nesovice,1.02,0.79,0.73
65993390,Ředitelství silnic a dálnic ČR,Rekonstrukce vybraných úseků D1 včetně dalších modernizačních opatření,1.22,0.79,0.74
75046962,Státní úřad inspekce práce,"Efektivní systém rozvoje zaměstnanosti, výkonu komplexních kontrol a potírání nelegálního zaměstnávání v ČR",0.92,0.79,0.76
70994234,"Správa železniční dopravní cesty, státní organizace",Revitalizace trati Pardubice - Ždírec nad Doubravou,1.0,0.78,0.64
70994234,"Správa železniční dopravní cesty, státní organizace",Průjezd železničním uzlem Ústí nad Orlicí,1.14,0.76,0.72
70994234,"Správa železniční dopravní cesty, státní organizace",Trať 081 Děčín - Rumburk v úseku Benešov n. Pl. - Rumburk,0.97,0.76,0.52
00551023,Ministerstvo práce a sociálních věcí,Zajištění výdajů vzniklých při řízení a realizaci OP LZZ v oblasti lidských zdrojů,0.89,0.76,0.72
70994234,"Správa železniční dopravní cesty, státní organizace",Revitalizace trati Frýdlant nad Ostravicí - Valašské Meziříčí,0.99,0.75,0.65
18050646,"TŘINECKÉ ŽELEZÁRNY, a. s.",Odprášení spalin a odprášení uzlů na aglomeraci č. 2,1.07,0.75,0.75
67981801,Ředitelství vodních cest ČR,Dokončení vltavské vodní cesty v úseku České Budějovice - Hluboká nad Vltavou,0.88,0.75,0.68
61989100,Vysoká škola báňská - Technická univerzita Ostrava,Nová FEI VŠB-TU  Ostrava,1.03,0.74,0.72
65993390,Ředitelství silnic a dálnic ČR,Silnice I/11 Jablunkov - obchvat,1.04,0.74,0.73
70994234,"Správa železniční dopravní cesty, státní organizace","Modernizace trati Hradec Králové - Pardubice - Chrudim, 1. stavba, zdvoukolejnění úseku Stéblová - Opatovice nad Labem",1.0,0.74,0.6
65993390,Ředitelství silnic a dálnic ČR,Rekonstrukce vybraných úseků D2 včetně dalších modernizačních opatření,1.23,0.74,0.73
65993390,Ředitelství silnic a dálnic ČR,Silnice I/13 Stráž nad Nisou - Krásná Studánka,0.9,0.74,0.8
00023752,Národní ústav duševního zdraví,Národní ústav duševního zdraví (NUDZ),0.88,0.73,0.73
61989592,Univerzita Palackého v Olomouci,Biomedicína pro regionální rozvoj a lidské zdroje.,0.97,0.73,0.72
00551023,Ministerstvo práce a sociálních věcí,Vzdělávejte se pro růst!,0.85,0.72,0.63
65993390,Ředitelství silnic a dálnic ČR,Rychlostní silnice R7 MÚK Bitozeves - MÚK Vysočany,0.87,0.72,0.68
70994234,"Správa železniční dopravní cesty, státní organizace",Rekonstrukce koleje č.1 a 2 Sklené nad Oslavou - Ostrov nad Oslavou,0.99,0.71,0.68
65993390,Ředitelství silnic a dálnic ČR,Silnice I/34 propojení dopravních okruhů České Budějovice,0.92,0.71,0.75
70994234,"Správa železniční dopravní cesty, státní organizace","Rekonstrukce železničního uzlu Břeclav, 2. stavba",1.03,0.71,0.68
65993390,Ředitelství silnic a dálnic ČR,Rychlostní silnice R35 Hradec Králové (Sedlice)  - Opatovice,1.91,0.71,0.71
70994234,"Správa železniční dopravní cesty, státní organizace",Optimalizace trati Praha-Bubeneč - Praha-Holešovice,1.0,0.71,0.66
65993390,Ředitelství silnic a dálnic ČR,"Propojení silnic I/11 a I/56, spojka S1 v Opavě",0.87,0.69,0.67
61989592,Univerzita Palackého v Olomouci,Centrum regionu Haná pro biotechnologický a zemědělský výzkum,0.99,0.69,0.69
