IČO,Žadatel,Celkové zdroje,Smlouva,Proplaceno
47470011,"KASI, spol. s r. o.",0.4,0.15,0.15
26180367,FERMAT CZ s.r.o.,0.39,0.15,0.14
00176109,"První brněnská strojírna Velká Bíteš, a. s.",0.4,0.15,0.15
25745735,BRUSH SEM s.r.o.,0.55,0.15,0.11
45192081,ČSAD Havířov a.s.,0.3,0.15,0.15
25662660,NANOTEX GROUP s.r.o.,0.29,0.15,0.14
25264605,Stora Enso Wood Products Ždírec s.r.o.,0.44,0.15,0.15
27465454,ASSA ABLOY Czech & Slovakia s.r.o.,0.39,0.15,0.13
27187446,CAVD s.r.o.,0.28,0.14,0.14
28222296,"Dobrovická muzea, o.p.s.",0.18,0.14,0.14
27826554,"Veolia Průmyslové služby ČR, a.s.",0.45,0.14,0.14
27690016,Red Hat Czech s.r.o.,0.38,0.14,0.14
27342191,MODELÁRNA LIAZ spol. s r.o.,0.32,0.14,0.13
25567489,BIOMASS ENERGY k. s.,0.28,0.14,0.13
46504834,Lázně Bělohrad a.s.,0.41,0.14,0.14
24145505,PV Roztoky s.r.o.,0.32,0.14,0.13
00675458,Českomoravská konfederace odborových svazů,0.16,0.13,0.13
25655809,"Alca plast, s.r.o.",0.3,0.13,0.13
47683228,KLEIN automotive s.r.o.,0.36,0.13,0.13
27327850,TOS VARNSDORF a.s.,0.37,0.13,0.13
46346431,RETEX a.s.,0.48,0.13,0.12
26259842,"BLANÁŘ NÁBYTEK,a.s.",0.35,0.13,0.13
60110422,"Tritón Pardubice, spol. s r. o.",0.29,0.13,0.12
48152056,"SVOS, spol. s r.o.",0.26,0.13,0.13
62957473,"HPH, spol.s r.o.",0.22,0.13,0.12
63999871,Kongresové centrum ILF a.s.,0.25,0.13,0.13
25035207,"PIVOVAR SVIJANY, a.s.",0.35,0.13,0.13
24671576,Solar Turbines EAME s.r.o.,0.38,0.13,0.13
26709023,JERUS a.s.,0.25,0.13,0.13
27062970,CARTHAMUS a.s.,0.5,0.13,0.13
28497422,EC Kutná Hora s.r.o.,0.5,0.13,0.13
69609624,HC OCELÁŘI TŘINEC z.s.,0.92,0.13,0.08
27775763,MAHLE Behr Ostrava s.r.o.,0.36,0.13,0.03
25507851,"ZKL Brno, a.s.",0.35,0.13,0.13
26167654,"FV - Plast, a.s.",0.28,0.12,0.12
25548611,"EXBIO Praha, a.s.",0.23,0.12,0.12
25281844,Contipro Biotech s.r.o.,0.27,0.12,0.11
27744485,"Centrála cestovního ruchu Východní Moravy, o.p.s.",0.15,0.12,0.11
28808681,DataSpring s.r.o.,0.25,0.12,0.12
25947672,MATRIX a.s.,0.3,0.12,0.12
45192073,ČSAD Frýdek - Místek a.s.,0.23,0.12,0.12
26195348,Magna Exteriors (Bohemia) s.r.o.,0.42,0.12,0.12
45192049,UNEX a.s.,0.29,0.12,0.12
27764460,"CARMAN-DOORS, s.r.o.",0.29,0.12,0.12
28198956,MERCATOR Energy a.s.,0.37,0.12,0.12
27443396,VTP ROZTOKY a.s.,0.28,0.12,0.12
28207882,"CHS Epi, a.s.",0.37,0.12,0.12
27558797,MOSTEK energo s.r.o.,0.4,0.12,0.12
25558366,Technické služby Budišov s.r.o.,0.21,0.12,0.12
41505191,"VETROPACK MORAVIA GLASS, akciová společnost",0.44,0.12,0.12
28985788,NetSuite Czech Republic s.r.o.,0.33,0.12,0.12
44990260,Diecézní charita Brno,0.15,0.12,0.11
48024091,"ACTHERM, spol. s r.o.",0.43,0.12,0.12
27465021,"Fatra, a.s.",0.34,0.12,0.11
27801454,"VÍTKOVICE STEEL, a. s.",0.24,0.12,0.12
49977644,"Gebauer a Griller Kabeltechnik, spol. s r.o.",0.33,0.12,0.07
27523543,HOUFEK a.s.,0.25,0.11,0.11
27278727,"SANS SOUCI, s.r.o.",0.21,0.11,0.11
47152532,"PRESBETON Nova, s.r.o.",0.26,0.11,0.1
25827405,ARRIVA MORAVA a.s.,0.34,0.11,0.11
00507814,L I N E T spol. s r.o.,0.29,0.11,0.1
49608444,BIC Ostrava s.r.o.,0.22,0.11,0.1
28733118,"Severočeská teplárenská, a.s.",0.26,0.11,0.11
