IČO,Žadatel,Celkové zdroje,Smlouva,Proplaceno
75082241,Regionální rada regionu soudržnosti Jihovýchod,0.77,0.65,0.56
00296643,Statutární město Frýdek-Místek,0.86,0.63,0.54
44555601,Univerzita Jana Evangelisty Purkyně v Ústí nad Labem,0.75,0.62,0.57
00251810,Město Strakonice,1.02,0.62,0.59
00268810,Statutární město Hradec Králové,1.15,0.62,0.58
00238295,Statutární město Mladá Boleslav,0.79,0.61,0.43
67179843,"Centrum výzkumu globální změny AV ČR, v. v. i.",1.04,0.61,0.6
49455168,"Vodovody a kanalizace Břeclav, a.s.",1.04,0.61,0.58
00098892,Fakultní nemocnice Olomouc,0.76,0.6,0.55
00254657,Statutární město Karlovy Vary,0.91,0.6,0.58
75082314,Regionální rada regionu soudržnosti Střední Čechy,0.7,0.6,0.45
00274046,Statutární město Pardubice,0.91,0.59,0.57
27283933,"Krajská nemocnice Liberec, a.s.",0.7,0.58,0.52
00299138,Město Litovel,0.79,0.57,0.55
00025798,Česká geologická služba,0.69,0.57,0.54
75086999,Regionální rada regionu soudržnosti Jihozápad,0.67,0.56,0.46
27256537,"Oblastní nemocnice Kladno, a.s., nemocnice Středočeského kraje",0.75,0.56,0.53
00209805,Masarykův onkologický ústav,0.83,0.56,0.52
00259586,Město Sokolov,0.76,0.55,0.53
62690094,Univerzita Hradec Králové,0.64,0.54,0.47
75082721,Regionální rada regionu soudržnosti Severovýchod,0.64,0.54,0.41
70856788,Státní fond rozvoje bydlení,0.61,0.52,0.52
00243132,Město Příbram,0.72,0.52,0.46
25945793,"TEPVOS, spol. s r.o.",0.86,0.5,0.47
75084911,Regionální rada regionu soudržnosti Střední Morava,0.58,0.48,0.39
00253979,Město Cheb,0.67,0.48,0.45
44994575,"Centrum dopravního výzkumu, v. v. i.",0.79,0.48,0.45
00263958,Město Litoměřice,0.69,0.48,0.47
62933591,Agentura ochrany přírody a krajiny České republiky,0.55,0.47,0.41
65993870,Centrum pro regionální rozvoj ČR,0.55,0.47,0.39
47311975,"Dopravní podnik měst Liberce a Jablonce nad Nisou, a.s.",0.75,0.45,0.43
00290629,Město Třebíč,0.66,0.44,0.4
62157124,Veterinární a farmaceutická univerzita Brno,0.53,0.44,0.4
42196451,"Lesy České republiky, s.p.",0.66,0.44,0.4
00020699,Český hydrometeorologický ústav,0.55,0.43,0.43
00276944,Město Litomyšl,0.63,0.43,0.42
46356967,"Vodohospodářská společnost Vrchlice - Maleč, a.s.",0.77,0.43,0.41
00298077,Město Kopřivnice,0.67,0.43,0.35
27661989,"Krajská nemocnice T. Bati, a. s.",0.6,0.42,0.4
68081731,"Ústav přístrojové techniky AV ČR, v. v. i.",0.58,0.42,0.41
00006963,Česká správa sociálního zabezpečení,0.53,0.42,0.34
00245836,Město Český Krumlov,0.51,0.41,0.38
26365804,Karlovarská krajská nemocnice a.s.,0.48,0.41,0.38
49468952,",,Svazek vodovodů a kanalizací"" měst a obcí",0.76,0.4,0.38
00027162,"Výzkumný ústav veterinárního lékařství, v. v. i.",0.85,0.4,0.38
65497074,Svazek obcí údolí Desné,0.49,0.39,0.37
00064203,Fakultní nemocnice v Motole,0.69,0.39,0.34
26827719,"Letiště Ostrava, a.s.",0.65,0.39,0.37
00025429,Ministerstvo spravedlnosti,0.46,0.39,0.3
49787977,"CHEVAK Cheb, a.s.",0.77,0.38,0.35
60460709,Česká zemědělská univerzita v Praze,0.55,0.38,0.35
43383513,Svaz vodovodů a kanalizací Žďársko,0.65,0.38,0.37
00297577,Město Orlová,0.56,0.38,0.33
47115726,"Energotrans, a.s.",1.14,0.38,0.37
00265781,Město Žatec,0.52,0.37,0.36
00270211,Město Chrudim,0.59,0.36,0.32
00261912,Město Kadaň,0.57,0.36,0.35
00232947,Město Vlašim,0.56,0.36,0.35
27256391,"Oblastní nemocnice Kolín, a.s., nemocnice Středočeského kraje",0.45,0.36,0.28
47813059,Slezská univerzita v Opavě,0.42,0.36,0.33
49766929,"Integrovaná střední škola technická a ekonomická Sokolov, příspěvková organizace",0.43,0.36,0.32
60108631,"Vodovody a kanalizace Pardubice, a.s.",0.69,0.35,0.35
00088455,Správa Krkonošského národního parku Vrchlabí,0.46,0.35,0.34
70845425,"Střední průmyslová škola Ostrov, příspěvková organizace",0.44,0.35,0.35
27520536,"Nemocnice Pardubického kraje, a.s.",0.4,0.35,0.32
27085031,"Oblastní nemocnice Příbram, a.s.",0.43,0.35,0.33
00301825,Statutární město Přerov,0.61,0.35,0.32
00297437,Město Český Těšín,0.47,0.34,0.33
61388971,"Mikrobiologický ústav AV ČR, v. v. i.",0.44,0.34,0.33
46356983,"Vodovody a kanalizace Mladá Boleslav, a.s.",0.77,0.34,0.3
00291471,Město Uherské Hradiště,0.56,0.34,0.31
00063797,Městská část Praha 8,0.54,0.34,0.29
49901982,Severočeské doly a.s.,0.92,0.34,0.33
70890013,"Povodí Moravy, s.p.",0.49,0.33,0.28
00246875,Město Jindřichův Hradec,0.59,0.33,0.32
00090638,"Nemocnice Jihlava, příspěvková organizace",0.39,0.33,0.32
00266094,Statutární město Most,0.49,0.33,0.29
00287351,Město Kroměříž,0.43,0.32,0.28
00080837,"Správa a údržba silnic Ústeckého kraje, příspěvková organizace",0.39,0.32,0.32
00300390,Obec Ludgeřovice,0.52,0.32,0.3
00020478,Ministerstvo zemědělství,0.43,0.32,0.28
00236195,Město Kutná Hora,0.48,0.32,0.29
47676639,"Dopravní podnik města Olomouce, a.s.",0.54,0.31,0.31
00303461,Město Šumperk,0.49,0.31,0.3
60162694,Ministerstvo obrany,0.5,0.31,0.27
71376500,Koordinační středisko pro resortní zdravotnické informační systémy,0.36,0.31,0.3
00291463,Město Uherský Brod,0.48,0.31,0.29
00241687,Městská část Praha 13,0.73,0.3,0.29
00235440,Město Kolín,0.48,0.3,0.27
00249998,Město Písek,0.43,0.3,0.28
00240931,Město Úvaly,0.49,0.3,0.29
00243272,Město Sedlčany,0.53,0.3,0.28
00239640,Město Poděbrady,0.47,0.3,0.26
00261904,Město Jirkov,0.42,0.3,0.28
00262340,Statutární město Jablonec nad Nisou,0.46,0.29,0.26
00023299,NÁRODNÍ TECHNICKÉ MUSEUM,0.34,0.29,0.29
00241202,Obec Dolní Břežany,0.41,0.29,0.28
47674521,"Vodovody a kanalizace Přerov, a.s.",0.48,0.28,0.28
00240273,Obec Kamenice,0.44,0.28,0.28
25911368,"VÍTKOVICE ARÉNA, a.s.",0.4,0.28,0.27
00278181,MĚSTO PEC POD SNĚŽKOU,0.5,0.28,0.28
00277037,Město Moravská Třebová,0.46,0.28,0.27
