Program,Celkové zdroje,Smlouva,Proplaceno
CZ.1.01 OP Doprava,284.59,183.83,169.19
CZ.1.02 OP Životní prostředí,225.67,128.06,124.0
CZ.1.03 OP Podnikání a inovace,224.63,95.51,88.95
CZ.1.04 OP Lidské zdroje a zaměstnanost,69.39,58.95,50.89
CZ.1.05 OP Výzkum a vývoj pro inovace,71.35,49.03,47.35
CZ.1.07 OP Vzdělávání pro konkurenceschopnost,56.2,47.77,43.94
CZ.1.06 Integrovaný operační program,58.62,44.18,40.29
CZ.1.10 ROP NUTS II Moravskoslezsko,33.92,22.66,19.92
CZ.1.11 ROP NUTS II Jihovýchod,33.55,22.31,18.48
CZ.1.09 ROP NUTS II Severozápad,28.83,19.09,18.0
CZ.1.14 ROP Jihozápad,28.3,18.74,16.83
CZ.1.12 ROP NUTS II Střední Morava,30.35,18.72,17.52
CZ.1.13 ROP NUTS II Severovýchod,28.88,18.44,17.4
CZ.1.15 ROP NUTS II Střední Čechy,25.92,17.7,14.92
CZ.2.16 OP Praha Konkurenceschopnost,11.26,7.33,6.54
CZ.1.08 OP Technická pomoc,5.13,4.35,3.61
CZ.2.17 OP Praha Adaptibilita,3.64,3.03,2.66
CZ.1.25 OP Rybářství,1.56,0.69,0.68
CZ.3.22 OP ČR - Polsko,0.18,0.15,0.19
