Žadatel,IČ žadatele,Rozhodnutí/Smlouva o poskytnutí dotace (EU zdroje)
JERUS a.s.,26709023,0.14928285
MODELÁRNA LIAZ spol. s r.o.,27342191,0.145987001
"BLANÁŘ NÁBYTEK,a.s.",26259842,0.144949826
"PIVOVAR SVIJANY, a.s.",25035207,0.14479018975
KLEIN automotive s.r.o.,47683228,0.1423782
VTP ROZTOKY a.s.,27443396,0.141081216
Technické služby Budišov s.r.o.,25558366,0.14056894586000002
TOS VARNSDORF a.s.,27327850,0.139511893
"CARMAN-DOORS, s.r.o.",27764460,0.13784561387
"FV - Plast, a.s.",26167654,0.13698672225
"ZKL Brno, a.s.",25507851,0.136727382
ASSA ABLOY Czech & Slovakia s.r.o.,27465454,0.136602097
"Centrála cestovního ruchu Východní Moravy, o.p.s.",27744485,0.13585384266
"EXBIO Praha, a.s.",25548611,0.134740342
"VETROPACK MORAVIA GLASS, akciová společnost",41505191,0.13425932361
NetSuite Czech Republic s.r.o.,28985788,0.133719989
MERCATOR Energy a.s.,28198956,0.131622403
MATRIX a.s.,25947672,0.13141845021
"Tritón Pardubice, spol. s r. o.",60110422,0.130809645
Diecézní charita Brno,44990260,0.13029004014
Magna Exteriors & Interiors (Bohemia) s.r.o.,26195348,0.12907937089
OSTROV ZDRAVÍ o.p.s.,27999602,0.12794485743
"SVOS, spol. s r.o.",48152056,0.127171183
",, Nadace Josefa Viewegha Sklářská huť František """,27899161,0.127051259
RETEX a.s.,46346431,0.126838761
Konfederace zaměstnavatelských a podnikatelských svazů ČR,49627325,0.12651162907000002
"Manner, občanské sdružení",26595621,0.12596325995000002
ČSAD Frýdek - Místek a.s.,45192073,0.12566695958
"VÍTKOVICE STEEL, a. s.",27801454,0.1237750965
SEVAPHARMA a.s.,25107305,0.123445071
"EnergoFuture, a.s.",27810577,0.12297
DataSpring s.r.o.,28808681,0.122803548
HOUFEK a.s.,27523543,0.122763413
"HPH, spol.s r.o.",62957473,0.122307812
UNEX a.s.,45192049,0.12203054559
"CHS Epi, a.s.",28207882,0.120044
MOSTEK energo s.r.o.,27558797,0.1197
Občanské sdružení Ester,70599963,0.11889257220999998
"ACTHERM, spol. s r.o.",48024091,0.11797744040000001
BIC Ostrava s.r.o.,49608444,0.117846488
Všesportovní areál OBŘÍ SUD JAVORNÍK s.r.o.,25119109,0.1166275878
"SANS SOUCI, s.r.o.",27278727,0.1161800676
BRUSH SEM s.r.o.,25745735,0.115971134
DF Partner s. r. o.,00545503,0.115083348
Daikin Industries Czech Republic s.r.o.,26357895,0.11437918741
"Fatra, a.s.",27465021,0.11428316588
SILO INVEST s.r.o.,27585573,0.11422951
KARLA spol. s r.o.,14613182,0.11205157
"Industry Servis ZK, a.s.",63080303,0.111792005
"FORMPLAST PURKERT, s.r.o.",47450703,0.11169603833
TĚLOCVIČNÁ JEDNOTA SOKOL PARDUBICE I.,00527785,0.11164495857999998
PRESIDENT SECURITIES a.s.,27155994,0.11136667307999999
L I N E T  spol. s r.o.,00507814,0.11063892414
"K.M.TRADE,spol.s r.o.",25061551,0.109991984
MARLENKA international  s.r.o.,25900706,0.109877253
"TIRAD, s.r.o.",48208205,0.10968866901999999
"KRONOSPAN OSB, spol. s r.o.",26936364,0.109438
"KonekTel, a.s.",15051145,0.109382
ARRIVA MORAVA a.s.,25827405,0.10924275467
BioVendor - Laboratorní medicína a.s.,63471507,0.10916353806
YACHT KLUB CERE,70104565,0.10907694097
"ŽĎAS, a.s.",46347160,0.108975058
"Severočeská teplárenská, a.s.",28733118,0.10878672246
"ASPERA, spol. s r.o.",13497774,0.108337807
PRECHEZA a.s.,26872307,0.10780816867
"Bioveta, a.s.",25304046,0.107424855
"FILÁK, s.r.o.",47674199,0.107223696
"SEKO Aerospace, a.s.",25446592,0.10712332278
Plastkon product s.r.o.,63321289,0.10686363
SOMA spol. s r. o.,45536724,0.106335882
Constellium Extrusions Děčín s.r.o.,18380654,0.10599836
"P A R D A M , s.r.o.",25268694,0.105198287
"TOS KUŘIM - OS,a.s.",26231522,0.10492880401
"Honeywell, spol. s r.o.",18627757,0.104916857
PEBAL s.r.o.,64830942,0.10291367029
"MZ Liberec, a.s.",47306581,0.10214556166
MANN + HUMMEL Service s.r.o.,27745686,0.102141923
"PRESBETON Nova, s.r.o.",47152532,0.10177275
TEMPO TRAINING  & CONSULTING s.r.o.,26813335,0.10167230307000001
"Edwards, s.r.o.",26461498,0.101502024
ČSAD Karviná a.s.,45192090,0.10079065371000001
"VESK,s.r.o.",25713248,0.100441386
H. R. G. spol. s r.o.,47471611,0.10004721877
"K3 SPORT, s.r.o.",26830248,0.09999999998
"RPG Byty, s.r.o.",27769127,0.09951264878
AISIS,67798853,0.09879066753
C SYSTEM CZ a.s.,27675645,0.09832852956999999
GAMMA Property a.s.,28189329,0.09830138109
SILGOR a.s.,26856140,0.09678975315999999
TEXTIL INVEST s.r.o.,25376977,0.09610266653999999
Sedlecký kaolin a. s.,63509911,0.096060613
Oblastní charita Červený Kostelec,48623814,0.09451510224
MONÍNEC s.r.o.,25770659,0.09366687962999999
"MRB Sazovice, spol. s r.o.",63488051,0.09268897604000001
"PRESBETON Drahotuše, s.r.o.",26151201,0.092594686
"FORLIT, a.s.",25112058,0.092563525
TRIANGOLO spol. s r.o.,47906600,0.092367273
"CONTEG, spol. s r.o.",25701843,0.09213948748
"Klastr českých nábytkářů, družstvo",27695077,0.09206801
Home Credit International a.s.,60192666,0.09180191792
LIPNO SERVIS s.r.o.,26016885,0.09171279570999999
"Nadace Partnerství (v mezinárodním styku ""Czech Environmental Partnership Foundation - CEPF)",45773521,0.09159897619
Doosan Bobcat Engineering s.r.o.,28171519,0.0914925803
"ANAJ Czech, a.s.",26797810,0.09137753286
"STROJÍRNA OSLAVANY, spol. s r.o.",49444531,0.09126097794
EDUCO CENTRUM s.r.o.,26869250,0.09098586973999999
"BIOENERGO - KOMPLEX, s.r.o.",27888754,0.09
IS environment SE,24259993,0.089994
Antonie Hotels s.r.o.,28237978,0.08882541774
"KULIČKOVÉ ŠROUBY KUŘIM, a.s.",24782947,0.088669883
"MICo, spol. s r.o.",49433946,0.08825946
CESA ENGINEERING a.s.,28325443,0.08801044
ISOTHERM s.r.o.,60647612,0.087759348
"Lázně Luhačovice, a.s.",46347828,0.08720418936
TL-ULTRALIGHT s.r.o.,25949659,0.087045391
STÖLZLE - UNION s.r.o.,45349843,0.086773266
"BEAS, a.s.",15061205,0.0866
"Asistenční centrum, a.s.",63144883,0.08644856754000001
Advanced Design Solution s.r.o.,26837374,0.086313608
Czech Sport Aircraft a.s.,28240316,0.086200335
Plastic Parts & Technology s.r.o.,25971689,0.086169959
"Sdružení pro probaci a mediaci v justici, o.s.",60446871,0.08567187361999999
"TVARBET MORAVIA, a.s.",13690558,0.085584042
"TRYMAT, spol. s r.o.",44743611,0.085332129
VUAB Pharma a.s.,63078180,0.08506849562999999
"Vyšší odborná škola DAKOL a Střední škola DAKOL, o.p.s.",25353446,0.08497533947
"NANOPROGRES,z.s.p.o.",72070382,0.084612369
KOMA MODULAR s.r.o.,46966170,0.08457624779
Sabris CZ s.r.o.,04201523,0.084402376
Wikov MGI a.s.,26491826,0.08412440168
"DAKO-CZ, a.s.",46505091,0.08403049102
"itelligence, a.s.",26718537,0.08383645825
Serafin Campestrini s.r.o.,49023039,0.083602
TRW-Carr s.r.o.,46349618,0.08358719240000001
"KS Kolbenschmidt Czech Republic, a. s.",46708952,0.08349097289
"Vítkovické slévárny, spol. s r.o.",62304992,0.08308438275000002
"Gebauer a Griller Kabeltechnik, spol. s r.o.",49977644,0.0828438995
ELMARCO s.r.o.,25421719,0.08216090006999999
""" IZOS s.r.o. """,47285338,0.082068923
CELIO a.s.,48289922,0.08188619990000001
SVÚM a.s.,25797000,0.08186453115
"TOSHULIN, a.s.",25510851,0.08163321603
Výzkumný ústav organických syntéz a.s.,60108975,0.08111699634
"SKLÁRNY MORAVIA, akciová společnost",16343646,0.08103619668
SolarWinds Czech s.r.o.,28284461,0.080218706
S T A K O  společnost s ručením omezeným,42228468,0.08000293526999999
Eirtech Aviation Czech Republic a.s.,28601084,0.079999
BRANO a.s.,45193363,0.079857624
"CLITIA, a.s.",26510103,0.07950805609999999
MS BOLT a.s.,25368109,0.079498084
4MEDi - Centrum buněčné terapie a diagnostiky a.s.,28585330,0.079419768
Magna Exteriors (Nymburk) s.r.o.,25458051,0.07879311259999999
"LiFire, a.s.",28195671,0.078730092
OSTROJ a.s.,45193681,0.07833172878
"Technistone, a.s.",25932080,0.07832953829
JOB ASISTENT s.r.o.,25457080,0.07827788506
"Intelligent Markets, a.s.",24139564,0.078152575
"MSA, a.s.",45192278,0.07814840281
"ALTECH, spol. s r.o.",46344861,0.077796734
KOVOLIS HEDVIKOV a.s.,61058041,0.0777749169
"JMA stavební, spol. s r.o.",18198627,0.077459451
HC OCELÁŘI TŘINEC o.s.,69609624,0.07720469734999999
Magna Cartech spol. s r.o.,60839368,0.07709282236
Bohemia Lignum a.s.,14707748,0.077023262
Unikont Group s.r.o.,41193113,0.076623754
"PGI MORAVA, s.r.o.",25526464,0.076220382
Benediktinské arciopatství sv. Vojtěcha a sv. Markéty v Praze - Břevnově,00408344,0.07619585179999999
"PETROM STAVBY, a.s.",26769611,0.076066832
P-D Refractories CZ a.s.,16343409,0.075878147
OPTAGLIO s.r.o.,48950076,0.07557184465000001
"BOXED, s.r.o.",27243842,0.0755034349
BOHEMIA HEALING MINERAL WATERS CZ a.s.,25778188,0.075449
E K O F I N  P C  spol. s r.o.,49901745,0.07530803784000001
MaxDrinks s.r.o.,26479893,0.075213996
nkt cables s.r.o.,27203395,0.07504519437
AGRO CS a.s.,64829413,0.07492662325
"Asseco Solutions, a.s.",64949541,0.07481218368
"TREVOS, a.s.",25922530,0.07481104
Groz-Beckert Czech s.r.o.,25179811,0.074710811
"Středisko ekologické výchovy a etiky Rýchory - SEVER, Brontosaurus Krkonoše",60153016,0.07468609413
"Zambelli - technik, spol. s r. o.",15789578,0.07442426920999999
"Ekocentrum PALETA, z. s.",64244873,0.07434156215000001
"INVOS, spol. s r. o.",44004036,0.073857862
NonStop Recruitment s.r.o.,27536815,0.073712661
o.s. Ergon-Chráněná dílna,26640899,0.07370769979
Arla Plast s.r.o.,26084996,0.073599724
"Armaturka Krnov, a.s.",48397334,0.073438259
"FARMAK, a.s.",45192961,0.07333057749
"IQ Roma servis, o.s.",65341511,0.07259627011999999
"Aircraft Industries, a.s.",27174841,0.07252568654
"Tiskárna POLYGRAF, s.r.o.",25942824,0.072296078
"Profibaustoffe CZ, s.r.o.",47912162,0.072185953
"PROFIMA EFFECTIVE, s.r.o.",25568027,0.07162652494999999
"CLUTEX - Klastr Technické textilie,z.s.",27031641,0.071504528
ŽPSV a.s.,46346741,0.07123173904
"LightGate, a.s.",26145219,0.071138901
"JOKEY PRAHA CZ, s.r.o.",48953997,0.071016341
"Společnost pro kvalitu školy, o. s.",69610606,0.07056584394
KOMA - Industry s.r.o.,64617912,0.070271898
Národní rada osob se zdravotním postižením České republiky o.s.,70856478,0.07026041652000001
"EVEKTOR, spol. s r.o.",16361733,0.07018559598
TES VSETÍN s.r.o.,24815276,0.07016954571
ALLIGARD s.r.o.,25200933,0.069814696
Pontech s.r.o.,27977315,0.06975470704
ČISTÁ PŘÍRODA VÝCHODNÍCH ČECH o.p.s.,28771648,0.06961656201000001
Apprise Software s.r.o.,29222478,0.069593703
OTR Recycling s.r.o.,28335830,0.06949102418000001
ECOS Choceň s.r.o.,64791351,0.069402491
"IT Cluster, o.s.",27021408,0.06938844759
BEDNAR FMT s.r.o.,25098781,0.069349836
Contipro Pharma a.s.,60917431,0.069346125
BOHEMIA INTERACTIVE a.s.,27218864,0.06920337
"AVG Technologies CZ, s.r.o.",44017774,0.069154577
CVP Galvanika s.r.o.,47548282,0.06913336
"Colognia press, a.s.",26186292,0.06900965112
"METRANS, a.s.",40763811,0.06889241876
"TOMA Olomouc, a.s.",25394967,0.06883923396000001
"CRYTUR, spol. s r.o.",25296558,0.068731368
"GUMOTEX, akciová společnost",16355407,0.06871589992
REC Group s.r.o.,25548034,0.0685986027
Wassa s.r.o.,27317421,0.068503026
Mondi Štětí a.s.,26161516,0.068416362
"TDS ZAMPRA, spol. s r. o.",46580590,0.068413066
Model Obaly a.s.,45192944,0.068290802
CleverTech s.r.o.,27224325,0.068175165
TNM PRINT s.r.o.,25012746,0.068030959
CB s.r.o.,25404539,0.06802916161
?SE.S.TA?,26537516,0.06780869946000001
Ochrana fauny České republiky o.s.,67778585,0.06778810202
TOP ALULIT s.r.o.,26957400,0.067704554
NWT a.s.,63469511,0.06766236448
Sportovní klub Nové Město na Moravě,43378480,0.0673891055
"KSK - BELT, a.s.",25022431,0.06728062
Jihostroj a.s.,46678212,0.06710599296
Fosfa akciová společnost,00152901,0.06685647885
TollNet a.s.,29055059,0.066756779
"Střední odborné učiliště DAKOL, s.r.o.",25831101,0.06669781514999999
Nemocnice Podlesí a.s.,48401129,0.0665341342
Karned Tools s.r.o.,25419692,0.06628864832
"Ostravské opravny a strojírny, s.r.o.",46581979,0.066201379
"Lafarge Cement, a.s.",14867494,0.066108251
ROMOTOP spol. s r. o.,47678186,0.06604582262
EYWAN s.r.o.,27544192,0.0660317445
bfz o.p.s.,27966119,0.06598164713
PILANA Knives a.s.,48530115,0.065923283
"ASTRON print, s.r.o.",26155222,0.06587198299000001
Rekvalifikační a informační centrum s.r.o.,25438352,0.06565015537999999
Comdata Czech a.s.,26418037,0.065453905
"POINT CZ, s.r.o.",48528803,0.06520279396999999
ATEK s.r.o.,26004968,0.065193338
PSP Pohony a.s.,47674784,0.064917347
ABREX s.r.o.,25665651,0.06490954056
TOONAN s.r.o.,27188345,0.06457854884
SPRINT TRADING s.r.o.,25361040,0.064501445
"SWA, s.r.o.",46884513,0.064397726
Šmeral Brno a.s.,46346139,0.06429929389
Občanské sdružení Prostor,26594633,0.06425008569
Družstvo ENVICRACK,27765075,0.064208661
PRIVAMED a.s.,46885251,0.06411928733
HOPAX s.r.o.,60779713,0.06411043897
Dental Institut s.r.o.,27554813,0.06407046
"PolyComp, a.s.",25713051,0.064001998
"SCG Czech Design Center, s.r.o.",25739336,0.06399230964
"DYAS.EU, a.s.",27117651,0.06389779464999999
5M s.r.o.,46969250,0.063859133
"La Lorraine, a.s.",25544551,0.063560367
B e H o spol. s r. o.,45535353,0.063116894
Regionální hospodářská komora Brno,48907723,0.06305980761
ASEKOL s.r.o.,27373231,0.06288127477
ENERGOKLASTR,26574519,0.062800799
"Asociace pomáhající lidem s autismem - APLA Praha, Střední Čechy, o.s.",26623064,0.06268482941
MVE Velký Osek s r.o.,27254631,0.06262902044
"BIOPREPARÁTY, spol. s r.o.",25607324,0.062584872
Krajská hospodářská komora Moravskoslezského kraje,47673192,0.06243153139
VYRTYCH - Technologický park a Inkubátor s.r.o.,27375561,0.0624
EKOBIOENERGO o.s.,60165243,0.062326126700000005
POKART spol. s r.o.,25574311,0.062205861
J.K.R. spol. s r.o.,18608001,0.062194637590000004
"BOOM TISK, spol. s r.o.",61679488,0.06186586
"Moravskoslezský dřevařský klastr, občanské sdružení",27003949,0.06173554665000001
CHEPO plus s.r.o.,26479591,0.061560015839999996
"Attavena, o.p.s.",25197185,0.06150887243
"AMF Reece CR, s.r.o.",48533106,0.061479764
InnoCrystal s.r.o.,62497821,0.061463926
Nevoga s.r.o.,00207730,0.061367966
"CZ LOKO, a.s.",61672131,0.061176514280000004
HEKU a.s.,47680431,0.060861968
K2 atmitec s.r.o.,42767717,0.060804722
"STROS-Sedlčanské strojírny, a.s.",26183595,0.060510877
"CREA Hydro&Energy, z.s.",22729674,0.060317623
"Kvalifikační a personální agentura, o. p. s.",25860259,0.06031038471
EUFORALL o.s.,26657066,0.06008370799999999
Vzdělávací centrum Podkrušnohoří,26548691,0.060021840669999986
"REALISTIC, a.s.",25247468,0.060015617
TERRA FELIX s.r.o.,27304043,0.060012603
CNC TVAR s.r.o.,27331661,0.059876628
"MARLIN, s.r.o.",60733306,0.059703591529999996
"Zámek Nový Světlov Bojkovice, o.p.s.",27730719,0.059669152
"Czech Republic Investment, a.s.",27917690,0.05961146187
NAVERTICA Services s.r.o.,28347218,0.059475741
POLDI TRADE a.s.,27379400,0.059283424
"VAMOZ - servis, a.s.",25848461,0.059221467
SQS Vláknová optika a.s.,60913037,0.058952924
"Tiskárna Helbich, a.s.",25592505,0.05881964858
Holzindustrie Chanovice s.r.o.,45349711,0.058724196590000007
Bauvant s.r.o.,27449416,0.058680999
GOLF CLUB U Hrádečku s.r.o.,25941364,0.05858742675
ENVY RECYCLING s.r.o.,28723121,0.058574174699999995
TestLine Clinical Diagnostics s.r.o.,47913240,0.058285971
"ATTEST, s.r.o.",25468243,0.058269869759999995
ŠKODA JS a.s.,25235753,0.058138086
SPL SERVIS s.r.o.,28718399,0.05812127998
ČEKO IMPORT a.s.,25284924,0.05778840373
Oblastní charita Most,70828920,0.05766413714
"Chropyňská strojírna, a.s.",18189679,0.05762299119
"BOR Biotechnology, a.s.",28366085,0.057288973
EC Distribuce a.s.,28550510,0.057211403
"Imperial nemovitostní, uzavřený investiční fond a.s.",29112460,0.05717928344
Automotive Lighting s.r.o.,25133152,0.0571557359
BAST s.r.o.,43371884,0.057152923
Centrum rozvojových aktivit Unie zaměstnavatelských svazů ČR,41694287,0.05704171692
"POE EDUCO, spol. s r. o.",64089398,0.05695030611000001
LINAPLAST s.r.o.,25348965,0.05689565248
"Jezdecký klub Liberec, o.s.",46744533,0.056769334629999994
AGROP NOVA a.s.,26243237,0.056720163
S - COMP Centre CZ s.r.o.,26170621,0.056700153669999996
VYDONA s.r.o.,25505556,0.056668858
"GASCONTROL, společnost s r.o.",46578021,0.056668624
"PRIMA BILAVČÍK, s.r.o.",26227631,0.05651479766
"IReSoft, s.r.o.",26297850,0.056501299
Česká zbrojovka a.s.,46345965,0.05648656586
Královéhradecká labská o.p.s.,27552969,0.05646327063
"TOMA, a.s.",18152813,0.056429833
"NÁRODNÍ ENERGETICKÝ KLASTR, z.s.",26580845,0.05632378856
"JIHLAVAN, a.s.",46347071,0.056038942
ZÁLESÍ a.s.,00135143,0.05603098277
Kloboucká lesní s.r.o.,25532642,0.055970530090000005
"HOBES, spol. s r. o.",45195277,0.05583701026
SUNWIN s.r.o.,26877503,0.055818095
"SKI CENTRUM KOHÚTKA, a.s.",26834430,0.05563199998
Agrovýzkum Rapotín s.r.o.,26788462,0.055525361780000004
"Junák - český skaut, okres Brno-město, z. s.",62157302,0.055515176160000006
TECHNOLOGICKÉ CENTRUM AKADEMIE VĚD ČESKÉ REPUBLIKY,60456540,0.05549343779
ALBATROS Prachatice s.r.o.,26065258,0.055406023590000006
"LISS, akciová společnost",16190874,0.055330478
"KOVOSVIT MAS, a.s.",26047284,0.055218887
ATQ s.r.o.,27762025,0.05512497
"Republikové centrum vzdělávání, s.r.o.",25289667,0.05510259901
Poradna pro občanství/Občanská a lidská práva,70100691,0.05502960525
Alpiq Generation (CZ) s.r.o.,26735865,0.054752263350000004
"Česká technologická platforma bezpečnosti průmyslu, z. s.",28559487,0.05475154929
Lázně Slatinice a.s.,25367757,0.05456528569000001
"INGEA recyklace, s.r.o.",28593634,0.05452148088
Krnovské opravny a strojírny s.r.o.,46581146,0.05448076423999999
"Česká abilympijská asociace, o.s.",67363156,0.05447851831
"I S T A R , společnost s ručením omezeným (spol. s r.o.)",41327331,0.054380226
"ASTRON studio CZ, a.s.",26751305,0.0542285
Vavex 1990 s.r.o.,26776251,0.054164269
AGRIPROD CZ a.s.,26019078,0.05414100173999999
Elanor spol. s r.o.,15887219,0.054108933
"Crystal BOHEMIA, a.s.",28486722,0.054102568399999995
MB PHARMA s.r.o.,25687191,0.053941975
"R E N O S T A V, spol. s r.o.",15502929,0.053927933
ATS INVEST s.r.o.,26026589,0.05387019081999999
Tyco Electronics Czech s.r.o.,48910791,0.053845403560000005
"BLATA, s.r.o.",25522132,0.053749721
ODAS ODPADY s.r.o.,27692841,0.05367178584000001
EHC CZECH s.r.o.,27970345,0.053645372
PROFINVESTIK s.r.o.,46578820,0.05359695
"NAREX Ždánice, spol. s r.o.",25576909,0.053596887
"REZIDENCE Nové Hrady, a.s.",26065631,0.053513202770000004
"REGATA ČECHY, a.s.",26154200,0.053491420170000005
WAREX spol. s r.o.,18628419,0.05348491
"NAM system,  a.s.",25862731,0.05337249747
"PIVOVAR ROHOZEC, a.s.",26011603,0.053297433
"Centre for Modern Education (CZ), s.r.o.",25631659,0.05306686233
VODOHOSPODÁŘSKÁ STAVEBNÍ SPOL. S R.O.,44567022,0.05298235599
"UNIPETROL RPA, s.r.o.",27597075,0.052891094799999996
MITAS a.s.,00012190,0.05262787805
"SVS, spol. s r.o.",45280070,0.052408798289999996
"ABO valve, s.r.o.",49609050,0.052345213409999994
LUKOV Plast spol. s r.o.,25023063,0.05230844941
Léčebné lázně Jáchymov a. s.,29211808,0.0522716551
DAVÍDEK s.r.o.,25915428,0.052270395409999997
Morava Wood Products s.r.o.,26835894,0.052264174
Jablonecká energetická a.s.,61539881,0.0521647452
AMT s.r.o. Příbram,47053925,0.05207621145
"Senior residence Terasy, z.ú.",26517621,0.05204112564
"Vysoká škola finanční a správní, o.p.s.",26138077,0.05203345257
RegioHub s. r. o.,24145424,0.052024982
"PTD CZ, s.r.o.",26906872,0.051892625
