Žadatel,Rozhodnutí/Smlouva o poskytnutí dotace (EU zdroje)
REMEDIUM Praha o.p.s.,1.7231671000000002
EUROTOPIA Opava o.p.s.,1.7203973600000002
Římskokatolická farnost Hulín,1.69667328
Charita Zlín,1.69497594
"PACE 2015, o.p.s.",1.68398935
"Střední škola informatiky a právních studií, o.p.s.",1.65867
Nadace Charty 77,1.65830067
Římskokatolická farnost Hodonín,1.6308855
"Základní škola Bodláka a Pampelišky, o.p.s., Veliš 40, okr. Jičín",1.623732
Římskokatolická farnost Lipová - lázně,1.6091485
"Vzdělávací centrum pro veřejnou správu ČR, o.p.s.",1.59060641
Charita Kaplice,1.58998164
HVĚZDÁRNA a RADIOKLUB LÁZEŇSKÉHO MĚSTA KARLOVY VARY o.p.s.,1.5886300500000001
Charita Šternberk,1.5667206200000001
Římskokatolická farnost u kostela Narození Panny Marie Praha - Michle,1.564632
"Český institut metabolického syndromu, o.p.s.",1.5582193
REVA o.p.s.,1.514294
radost 3.0 o.p.s.,1.51423382
Konvent minoritů v Krnově,1.51332749
Prostějov venkov o.p.s.,1.4969748
Charita Vsetín,1.4902483400000002
"Ceptum, o.p.s.",1.4371276000000002
Římskokatolická farnost Cvikov,1.4369786
PORSENNA o.p.s.,1.41656319
"Sofisofis, o.p.s.",1.38831306
PONTIS Šumperk o.p.s.,1.38133417
Centrum sociálních a zdravotních služeb Poděbrady o.p.s.,1.36131677
Farní sbor Slezské církve evangelické a. v. v Orlové,1.34800655
Farní sbor Českobratrské církve evangelické v Moravči,1.3273900900000002
"JINAK, o.p.s.",1.32268935
Římskokatolická farnost Borovany,1.3136401899999999
Vila Vančurova o.p.s.,1.3044568600000002
Základní škola a střední škola Pomněnka o.p.s.,1.29119923
"PROGRESSIVE,  o.p.s.",1.26657142
Dotek o.p.s.,1.2583519399999998
Sluneční domov o.p.s.,1.2158445900000001
NADACE RABTEN,1.21195885
Římskokatolická farnost Město Albrechtice,1.2060004199999999
Oblastní charita Hradec Králové,1.20011045
Charita Svaté rodiny Luhačovice,1.18573274
"Centrum služeb Slunce všem, o.p.s.",1.1703181
Římskokatolická farnost Holešov,1.1652048000000002
Farní sbor Českobratrské církve evangelické v Praze 3 - Jarov,1.15371493
"Obchodní akademie ELDO, o.p.s.",1.126877
"Destinační management turistické oblasti Poodří - Moravské Kravařsko, o.p.s.",1.11946003
"Psychocentrum Domeček Hodonín, o.p.s.",1.11919224
"EDUCAnet - Střední odborná škola a gymnázium Brno, o.p.s.",1.103692
Lázeňská rozvojová o.p.s.,1.0812098
"Brno LIVE, o.p.s.",1.07688346
"Základní škola a Mateřská škola a poskytovatel sociálních služeb, Kaňka o.p.s.",1.0646826699999998
"Společnost Mana, o.p.s.",1.0583891
"Základní škola a Mateřská škola Pramínek, o. p. s.",1.050185
Římskokatolická farnost Slezské Rudoltice,1.0490382
"Střední škola KNIH, o.p.s.",1.032565
Konvent sester alžbětinek v Jablunkově,1.02426956
Římskokatolická farnost Valašská Polanka,1.02401684
"Česká asociace streetwork, o.p.s.",1.02225695
Domov svaté rodiny,0.98877592
"INFOCENTRUM MĚSTA Karlovy Vary, o.p.s.",0.9879281
Římskokatolická farnost Hněvošice,0.98456
"Academia Bohemica, o.p.s.",0.95881775
"CESPO, o. p. s.",0.94766582
obecně prospěšná společnost ČAP,0.942312
MAS Vladař o.p.s.,0.931631
"Základní škola a praktická škola Arkadie, o.p.s.",0.911364
Římskokatolická farnost Zdounky,0.909385
"Soukromá střední zdravotnická škola Mělník, o.p.s.",0.90423
"Střední škola, základní škola a mateřská škola JISTOTA, o.p.s.",0.856762
Sbor Církve bratrské v Litomyšli,0.8052101899999999
Římskokatolická farnost Strahovice,0.802096
Charita Český Těšín,0.801531
Alzheimercentrum Prácheň o.p.s.,0.79752137
Diakonie ČCE - hospic CITADELA,0.7951617
Farní sbor Českobratrské církve evangelické v Praze 8 - Libni,0.7884081
"Montessori mateřská škola Klíček, o.p.s.",0.78340214
"Ekolandia, o.p.s.",0.77666112
"Střední škola fotografická, filmová a televizní, o.p.s.",0.769687
"Ekonomické Lyceum a Obchodní akademie SOVA, o.p.s.",0.760192
MAS Horní Pomoraví o.p.s.,0.75
"SERVISO, o.p.s.",0.75
"Bystřička, o.p.s.",0.75
Obecně prospěšná společnost pro Český ráj,0.75
"NAD ORLICÍ, o.p.s.",0.75
MAS Lužnicko o.p.s.,0.75
MAS Mikulovsko o.p.s.,0.749962
Region Pošembeří o.p.s.,0.74981456
Královská stezka o.p.s.,0.748882
"Místní akční skupina Království - Jestřebí hory, o.p.s.",0.747928
Sbor Bratrské jednoty baptistů v Chebu,0.7462664499999999
Římskokatolická farnost Jeseník nad Odrou,0.74598499
MAS Říčansko o.p.s.,0.74564204
"MAS Zubří země, o.p.s.",0.745457
Rakovnicko o.p.s.,0.74402
"Základní škola Mozaika, o.p.s. Rychnov nad Kněžnou",0.739863
MAS Šternbersko o.p.s.,0.735593
Hradecký venkov o.p.s.,0.73466
Agentura Třeboňsko o.p.s.,0.73416256
Římskokatolická farnost Sobotín,0.73368625
"Podhorácko, o.p.s.",0.730904
Střední odborná škola MORAVA o.p.s.,0.721033
MAS CÍNOVECKO o.p.s.,0.712706
"MAS Sedlčansko, o.p.s.",0.71199312
"Trojzemí, o.p.s.",0.70119358
Místní akční skupina Česká Kanada o.p.s.,0.6995
Přemyslovské střední Čechy o.p.s.,0.699245
Římskokatolická farnost Pečky,0.686105
Farní sbor Českobratrské církve evangelické v Zádveřicích - Rakové,0.68572448
Dřevčická o.p.s.,0.6815031
MAS Jihozápad o.p.s.,0.677056
Sbor Jednoty bratrské v Praze,0.66689116
"Ekologos, o.p.s.",0.65018275
"MAS Zlatá cesta, o.p.s.",0.644306
"ZÁKLADNÍ ŠKOLA A MATEŘSKÁ ŠKOLA NELUMBO Education, o.p.s.",0.639402
Nadační fond Betlém nenarozeným,0.63397251
"Svobodná základní škola, o.p.s., Jablonec nad Nisou",0.630234
MAS Dolnobřežansko o.p.s.,0.628624
"Soukromá základní škola  a mateřská škola Adélka, o.p.s.",0.628519
Místní akční skupina Pomalší o.p.s.,0.6244978
Nemocnice Milosrdných sester sv. Karla Boromejského v Praze,0.6243856600000001
"Místní akční skupina Svazku obcí Blatenska, o.p.s.",0.623552
OSLAVKA o.p.s.,0.608987
Římskokatolická farnost Valeč u Hrotovic,0.59644109
Římskokatolická farnost Koněšín,0.581804
"Havlíčkův kraj, o.p.s.",0.573689
Farní sbor Českobratrské církve evangelické v Liptálu,0.56840399
Místní akční skupina Třeboňsko o.p.s.,0.564344
"MAS MOST Vysočiny, o.p.s.",0.54053
Oblastní charita Ústí nad Orlicí,0.52996561
Farní sbor Českobratrské církve evangelické v Novém Městě na Moravě,0.519371
"Místní akční skupina Jemnicko, o.p.s.",0.512046
"Soukromá střední škola podnikání a managementu, o.p.s.",0.509006
MAS Moravskotřebovsko a Jevíčsko o.p.s.,0.499913
"MAS Polabí, o.p.s.",0.494941
Charita Frenštát pod Radhoštěm,0.48517387
MAS Jižní Haná o.p.s.,0.47735088
"Luhačovské Zálesí, o.p.s.",0.47538
MAS Naděje o.p.s.,0.4616
MAS Litomyšlsko o.p.s.,0.460888
Slezská církev evangelická augsburského vyznání,0.453195
Římskokatolická farnost Radešínská Svratka,0.44048655
"MAS Rokytná, o.p.s.",0.43190998999999997
"Základní škola a Střední škola CREDO, o.p.s.",0.428489
Česká provincie Kongregace Školských sester de Notre Dame,0.4029138
Rozvoj Krnovska o.p.s.,0.4
"HOSPIC v MOSTĚ, o.p.s.",0.3906882
MAS Českomoravské pomezí o.p.s.,0.387139
"Základní škola speciální Jasněnka, o.p.s.",0.385358
"Základní škola a mateřská škola Basic, o.p.s.",0.362674
Střední umělecká škola varhanářská o.p.s.,0.36061
"Centrum BAZALKA - Základní škola speciální a Mateřská škola speciální, o.p.s.",0.354111
Farní sbor Českobratrské církve evangelické v Klášteře nad Dědinou,0.33666053
Farní sbor Českobratrské církve evangelické v Táboře,0.33401970000000003
Místní akční skupina Blanský les - Netolicko o.p.s.,0.326278
"MAS Krušné hory, o.p.s.",0.277212
Nadační fond Za Tři Studně krásnější,0.25729413
Římskokatolická farnost Dobratice,0.22513015
Římskokatolická farnost Rousínov u Vyškova,0.206573
Waldorfská základní škola Dobromysl o.p.s.,0.204112
Římskokatolická farnost Litovel,0.161202
Římskokatolická farnost Moravský Beroun,0.06869792999999999
Bezpečně na silnicích o.p.s.,
"Centrum rozvoje Česká Skalice, o.p.s.",
Duchovní správa poutního místa Panny Marie Pomocné,
"Dům seniorů ""POHODA"", o.p.s.",
"Eurobeskyd, o.p.s.",
FILHARMONIE Hradec Králové o.p.s.,
Farní sbor Slezské církve evangelické a. v. v Třanovicích,
JIZERKY PRO VÁS obecně prospěšná společnost,
"KRKONOŠE/KARKONOSZE 2020, o.p.s.",
"Klasický areál Harrachov, o.p.s.",
"Pečovatelská služba OASA Opava, o.p.s.",
"Středisko ekologické výchovy SEVER Horní Maršov, o.p.s.",
Usedlost Jasanka o.p.s.,
Římskokatolická farnost Hrozová,
Římskokatolická farnost Javorník ve Slezsku,
Římskokatolická farnost Rybí,
Římskokatolická farnost Velký Šenov,
Římskokatolická farnost Zlaté Hory,
Římskokatolická farnost u kostela Nanebevzetí Panny Marie Příbram - Svatá Hora,
Železniční společnost Tanvald o.p.s.,
