Hosp.právní forma,Žadatel,Rozhodnutí/Smlouva o poskytnutí dotace (EU zdroje)
Obecně prospěšná společnost,"Středomoravská agentura rozvoje venkova, o.p.s.",2.4369759500000003
Obecně prospěšná společnost,Jesenická rozvojová o.p.s.,2.42691377
Obecně prospěšná společnost,"BONA, o.p.s.",2.3836768399999997
Obecně prospěšná společnost,TABITA o.p.s.,2.3752987
Obecně prospěšná společnost,"Střední Haná, o.p.s.",2.327243
Obecně prospěšná společnost,OCCASIO o.p.s.,2.309083
Obecně prospěšná společnost,Ledax Vysoké Mýto o.p.s.,2.29938616
Obecně prospěšná společnost,"NOVIDA, o.p.s.",2.2738719
Nadace,"Nadace Quido Schwanka - Troja, město v zeleni",2.26277959
Obecně prospěšná společnost,Světlo Jihlavské Terasy o.p.s.,2.20792887
Obecně prospěšná společnost,"Společně, o.p.s.",2.1857062099999998
Obecně prospěšná společnost,"Místní akční skupina Třešťsko, o.p.s.",2.14830847
Obecně prospěšná společnost,"Fórum 50 %, o.p.s.",2.1261422000000003
Nadační fond,"sociální nadační fond města Brna ""Domovy potřebných""",2.1163089900000003
Obecně prospěšná společnost,"CENTRUM VYSOČINA, o.p.s.",2.11201013
Obecně prospěšná společnost,"MAS Vizovicko a Slušovicko, o.p.s.",2.102345
Obecně prospěšná společnost,Aktivní život o.p.s.,2.05867995
Obecně prospěšná společnost,ENERGIE o.p.s.,2.0286106100000003
Obecně prospěšná společnost,"Hospic sv. Jana N. Neumanna, o.p.s.",1.98853699
Obecně prospěšná společnost,"ORE-institut, o.p.s.",1.9350888
Obecně prospěšná společnost,"Astras, o.p.s.",1.91214162
Obecně prospěšná společnost,Základní škola waldorfská a mateřská škola České Budějovice o.p.s.,1.882221
Obecně prospěšná společnost,"Mateřská škola, Základní škola a Praktická škola při centru ARPIDA, o.p.s.",1.8534845500000001
Obecně prospěšná společnost,ŽÍT SPOLU o.p.s.,1.8339425
Obecně prospěšná společnost,"LRS Chvaly, o.p.s.",1.83079953
Obecně prospěšná společnost,"Regionální turistické a informační centrum, o.p.s.",1.82327809
Obecně prospěšná společnost,"La Strada Česká republika, o.p.s.",1.82306073
Obecně prospěšná společnost,"PROSTOR PRO, o.p.s.",1.80854223
Obecně prospěšná společnost,"ACCENDO - Centrum pro vědu a výzkum, o.p.s.",1.79634538
Obecně prospěšná společnost,"Společnost pro kreativitu ve vzdělávání, o.p.s.",1.78536455
Obecně prospěšná společnost,"Help - in, o.p.s.",1.7757261299999998
Obecně prospěšná společnost,REMEDIUM Praha o.p.s.,1.7231671000000002
Obecně prospěšná společnost,EUROTOPIA Opava o.p.s.,1.7203973600000002
Obecně prospěšná společnost,"PACE 2015, o.p.s.",1.68398935
Obecně prospěšná společnost,"Střední škola informatiky a právních studií, o.p.s.",1.65867
Nadace,Nadace Charty 77,1.65830067
Obecně prospěšná společnost,"Základní škola Bodláka a Pampelišky, o.p.s., Veliš 40, okr. Jičín",1.623732
Obecně prospěšná společnost,"Vzdělávací centrum pro veřejnou správu ČR, o.p.s.",1.59060641
Obecně prospěšná společnost,HVĚZDÁRNA a RADIOKLUB LÁZEŇSKÉHO MĚSTA KARLOVY VARY o.p.s.,1.5886300500000001
Obecně prospěšná společnost,"Český institut metabolického syndromu, o.p.s.",1.5582193
Obecně prospěšná společnost,REVA o.p.s.,1.514294
Obecně prospěšná společnost,radost 3.0 o.p.s.,1.51423382
Obecně prospěšná společnost,Prostějov venkov o.p.s.,1.4969748
Obecně prospěšná společnost,"Ceptum, o.p.s.",1.4371276000000002
Obecně prospěšná společnost,PORSENNA o.p.s.,1.41656319
Obecně prospěšná společnost,"Sofisofis, o.p.s.",1.38831306
Obecně prospěšná společnost,PONTIS Šumperk o.p.s.,1.38133417
Obecně prospěšná společnost,Centrum sociálních a zdravotních služeb Poděbrady o.p.s.,1.36131677
Obecně prospěšná společnost,"JINAK, o.p.s.",1.32268935
Obecně prospěšná společnost,Vila Vančurova o.p.s.,1.3044568600000002
Obecně prospěšná společnost,Základní škola a střední škola Pomněnka o.p.s.,1.29119923
Obecně prospěšná společnost,"PROGRESSIVE,  o.p.s.",1.26657142
Obecně prospěšná společnost,Dotek o.p.s.,1.2583519399999998
Obecně prospěšná společnost,Sluneční domov o.p.s.,1.2158445900000001
Nadace,NADACE RABTEN,1.21195885
Obecně prospěšná společnost,"Centrum služeb Slunce všem, o.p.s.",1.1703181
Obecně prospěšná společnost,"Obchodní akademie ELDO, o.p.s.",1.126877
Obecně prospěšná společnost,"Destinační management turistické oblasti Poodří - Moravské Kravařsko, o.p.s.",1.11946003
Obecně prospěšná společnost,"Psychocentrum Domeček Hodonín, o.p.s.",1.11919224
Obecně prospěšná společnost,"EDUCAnet - Střední odborná škola a gymnázium Brno, o.p.s.",1.103692
Obecně prospěšná společnost,Lázeňská rozvojová o.p.s.,1.0812098
Obecně prospěšná společnost,"Brno LIVE, o.p.s.",1.07688346
Obecně prospěšná společnost,"Základní škola a Mateřská škola a poskytovatel sociálních služeb, Kaňka o.p.s.",1.0646826699999998
Obecně prospěšná společnost,"Společnost Mana, o.p.s.",1.0583891
Obecně prospěšná společnost,"Základní škola a Mateřská škola Pramínek, o. p. s.",1.050185
Obecně prospěšná společnost,"Střední škola KNIH, o.p.s.",1.032565
Obecně prospěšná společnost,"Česká asociace streetwork, o.p.s.",1.02225695
Obecně prospěšná společnost,"INFOCENTRUM MĚSTA Karlovy Vary, o.p.s.",0.9879281
Obecně prospěšná společnost,"Academia Bohemica, o.p.s.",0.95881775
Obecně prospěšná společnost,"CESPO, o. p. s.",0.94766582
Obecně prospěšná společnost,obecně prospěšná společnost ČAP,0.942312
Obecně prospěšná společnost,MAS Vladař o.p.s.,0.931631
Obecně prospěšná společnost,"Základní škola a praktická škola Arkadie, o.p.s.",0.911364
Obecně prospěšná společnost,"Soukromá střední zdravotnická škola Mělník, o.p.s.",0.90423
Obecně prospěšná společnost,"Střední škola, základní škola a mateřská škola JISTOTA, o.p.s.",0.856762
Obecně prospěšná společnost,Alzheimercentrum Prácheň o.p.s.,0.79752137
Obecně prospěšná společnost,"Montessori mateřská škola Klíček, o.p.s.",0.78340214
Obecně prospěšná společnost,"Ekolandia, o.p.s.",0.77666112
Obecně prospěšná společnost,"Střední škola fotografická, filmová a televizní, o.p.s.",0.769687
Obecně prospěšná společnost,"Ekonomické Lyceum a Obchodní akademie SOVA, o.p.s.",0.760192
Obecně prospěšná společnost,"Bystřička, o.p.s.",0.75
Obecně prospěšná společnost,"SERVISO, o.p.s.",0.75
Obecně prospěšná společnost,MAS Horní Pomoraví o.p.s.,0.75
Obecně prospěšná společnost,"NAD ORLICÍ, o.p.s.",0.75
Obecně prospěšná společnost,Obecně prospěšná společnost pro Český ráj,0.75
Obecně prospěšná společnost,MAS Lužnicko o.p.s.,0.75
Obecně prospěšná společnost,MAS Mikulovsko o.p.s.,0.749962
Obecně prospěšná společnost,Region Pošembeří o.p.s.,0.74981456
Obecně prospěšná společnost,Královská stezka o.p.s.,0.748882
Obecně prospěšná společnost,"Místní akční skupina Království - Jestřebí hory, o.p.s.",0.747928
Obecně prospěšná společnost,MAS Říčansko o.p.s.,0.74564204
Obecně prospěšná společnost,"MAS Zubří země, o.p.s.",0.745457
Obecně prospěšná společnost,Rakovnicko o.p.s.,0.74402
Obecně prospěšná společnost,"Základní škola Mozaika, o.p.s. Rychnov nad Kněžnou",0.739863
Obecně prospěšná společnost,MAS Šternbersko o.p.s.,0.735593
Obecně prospěšná společnost,Hradecký venkov o.p.s.,0.73466
Obecně prospěšná společnost,Agentura Třeboňsko o.p.s.,0.73416256
Obecně prospěšná společnost,"Podhorácko, o.p.s.",0.730904
Obecně prospěšná společnost,Střední odborná škola MORAVA o.p.s.,0.721033
Obecně prospěšná společnost,MAS CÍNOVECKO o.p.s.,0.712706
Obecně prospěšná společnost,"MAS Sedlčansko, o.p.s.",0.71199312
Obecně prospěšná společnost,"Trojzemí, o.p.s.",0.70119358
Obecně prospěšná společnost,Místní akční skupina Česká Kanada o.p.s.,0.6995
Obecně prospěšná společnost,Přemyslovské střední Čechy o.p.s.,0.699245
Obecně prospěšná společnost,Dřevčická o.p.s.,0.6815031
Obecně prospěšná společnost,MAS Jihozápad o.p.s.,0.677056
Obecně prospěšná společnost,"Ekologos, o.p.s.",0.65018275
Obecně prospěšná společnost,"MAS Zlatá cesta, o.p.s.",0.644306
Obecně prospěšná společnost,"ZÁKLADNÍ ŠKOLA A MATEŘSKÁ ŠKOLA NELUMBO Education, o.p.s.",0.639402
Nadační fond,Nadační fond Betlém nenarozeným,0.63397251
Obecně prospěšná společnost,"Svobodná základní škola, o.p.s., Jablonec nad Nisou",0.630234
Obecně prospěšná společnost,MAS Dolnobřežansko o.p.s.,0.628624
Obecně prospěšná společnost,"Soukromá základní škola  a mateřská škola Adélka, o.p.s.",0.628519
Obecně prospěšná společnost,Místní akční skupina Pomalší o.p.s.,0.6244978
Obecně prospěšná společnost,"Místní akční skupina Svazku obcí Blatenska, o.p.s.",0.623552
Obecně prospěšná společnost,OSLAVKA o.p.s.,0.608987
Obecně prospěšná společnost,"Havlíčkův kraj, o.p.s.",0.573689
Obecně prospěšná společnost,Místní akční skupina Třeboňsko o.p.s.,0.564344
Obecně prospěšná společnost,"MAS MOST Vysočiny, o.p.s.",0.54053
Obecně prospěšná společnost,"Místní akční skupina Jemnicko, o.p.s.",0.512046
Obecně prospěšná společnost,"Soukromá střední škola podnikání a managementu, o.p.s.",0.509006
Obecně prospěšná společnost,MAS Moravskotřebovsko a Jevíčsko o.p.s.,0.499913
Obecně prospěšná společnost,"MAS Polabí, o.p.s.",0.494941
Obecně prospěšná společnost,MAS Jižní Haná o.p.s.,0.47735088
Obecně prospěšná společnost,"Luhačovské Zálesí, o.p.s.",0.47538
Obecně prospěšná společnost,MAS Naděje o.p.s.,0.4616
Obecně prospěšná společnost,MAS Litomyšlsko o.p.s.,0.460888
Obecně prospěšná společnost,"MAS Rokytná, o.p.s.",0.43190998999999997
Obecně prospěšná společnost,"Základní škola a Střední škola CREDO, o.p.s.",0.428489
Obecně prospěšná společnost,Rozvoj Krnovska o.p.s.,0.4
Obecně prospěšná společnost,"HOSPIC v MOSTĚ, o.p.s.",0.3906882
Obecně prospěšná společnost,MAS Českomoravské pomezí o.p.s.,0.387139
Obecně prospěšná společnost,"Základní škola speciální Jasněnka, o.p.s.",0.385358
Obecně prospěšná společnost,"Základní škola a mateřská škola Basic, o.p.s.",0.362674
Obecně prospěšná společnost,Střední umělecká škola varhanářská o.p.s.,0.36061
Obecně prospěšná společnost,"Centrum BAZALKA - Základní škola speciální a Mateřská škola speciální, o.p.s.",0.354111
Obecně prospěšná společnost,Místní akční skupina Blanský les - Netolicko o.p.s.,0.326278
Obecně prospěšná společnost,"MAS Krušné hory, o.p.s.",0.277212
Nadační fond,Nadační fond Za Tři Studně krásnější,0.25729413
Obecně prospěšná společnost,Waldorfská základní škola Dobromysl o.p.s.,0.204112
Obecně prospěšná společnost,Bezpečně na silnicích o.p.s.,
Obecně prospěšná společnost,"Centrum rozvoje Česká Skalice, o.p.s.",
Obecně prospěšná společnost,"Dům seniorů ""POHODA"", o.p.s.",
Obecně prospěšná společnost,"Eurobeskyd, o.p.s.",
Obecně prospěšná společnost,FILHARMONIE Hradec Králové o.p.s.,
Obecně prospěšná společnost,JIZERKY PRO VÁS obecně prospěšná společnost,
Obecně prospěšná společnost,"KRKONOŠE/KARKONOSZE 2020, o.p.s.",
Obecně prospěšná společnost,"Klasický areál Harrachov, o.p.s.",
Obecně prospěšná společnost,"Pečovatelská služba OASA Opava, o.p.s.",
Obecně prospěšná společnost,"Středisko ekologické výchovy SEVER Horní Maršov, o.p.s.",
Obecně prospěšná společnost,Usedlost Jasanka o.p.s.,
Obecně prospěšná společnost,Železniční společnost Tanvald o.p.s.,
